108,88,81,w
106,85,79,w
28,49,13,g
31,47,14,g
30,48,12,g
27,46,8,g
31,47,9,g
27,45,6,g
36,48,8,g
42,50,7,g
39,49,8,g
13,30,119,o
14,31,128,o
11,30,121,o
12,29,113,o
11,29,125,o
7,27,116,o
32,33,104,o
21,30,111,o
15,28,109,o
2,79,90,y
2,89,105,y
2,89,104,y
2,82,95,y
2,92,108,y
3,89,107,y
3,76,87,y
3,82,97,y
3,74,88,y
19,25,63,r
17,24,65,r
16,24,62,r
16,19,56,r
17,19,60,r
13,19,61,r
31,23,53,r
29,23,56,r
28,23,59,r
79,31,7,b
89,33,9,b
83,31,7,b
83,29,5,b
89,29,4,b
83,30,6,b
78,25,3,b
88,27,3,b
82,28,5,b
91,86,79,w
89,86,82,w
82,81,79,w
100,92,82,w
68,65,61,w
90,83,76,w
102,86,74,w
101,86,74,w
97,82,72,w
31,47,12,g
29,46,11,g
27,44,10,g
31,47,9,g
29,43,5,g
32,44,5,g
45,49,7,g
44,47,6,g
34,43,5,g
14,29,109,o
15,29,115,o
13,28,111,o
17,27,104,o
26,32,111,o
27,32,110,o
40,34,95,o
40,34,101,o
33,31,101,o
4,83,94,y
5,83,96,y
4,81,98,y
4,82,91,y
4,83,92,y
3,79,95,y
25,78,76,y
14,80,84,y
5,77,89,y
15,23,70,r
16,23,75,r
11,21,73,r
15,22,68,r
10,18,70,r
12,19,69,r
22,22,61,r
24,22,62,r
20,20,64,r
82,33,13,b
83,35,13,b
85,34,13,b
85,30,8,b
90,31,7,b
90,32,10,b
94,30,6,b
102,32,6,b
96,31,7,b
99,90,84,w
96,89,84,w
93,88,84,w
108,91,80,w
87,71,64,w
102,88,79,w
109,84,70,w
107,87,75,w
102,83,75,w
31,51,13,g
32,51,13,g
29,50,11,g
30,50,10,g
32,50,11,g
31,48,8,g
33,49,9,g
43,53,10,g
45,53,9,g
13,32,116,o
13,31,118,o
9,29,114,o
29,37,112,o
28,35,111,o
27,36,110,o
40,39,106,o
28,32,103,o
25,33,105,o
5,71,86,y
4,71,90,y
4,71,88,y
8,71,77,y
8,71,79,y
9,74,83,y
11,68,74,y
8,69,75,y
10,69,76,y
25,27,61,r
32,27,62,r
28,24,62,r
34,26,53,r
33,22,53,r
25,21,57,r
31,23,50,r
30,20,49,r
29,24,55,r
78,35,16,b
80,33,11,b
77,31,10,b
89,32,7,b
89,30,5,b
85,32,9,b
85,30,8,b
86,30,7,b
83,32,11,b
86,81,80,w
86,82,80,w
82,78,72,w
92,79,70,w
79,62,54,w
91,78,72,w
94,76,66,w
91,74,64,w
90,78,71,w
33,48,21,g
32,44,13,g
29,43,9,g
38,49,16,g
40,48,10,g
40,48,8,g
46,52,17,g
40,46,8,g
39,48,11,g
43,43,103,o
34,36,95,o
35,36,99,o
41,39,96,o
32,30,91,o
25,28,94,o
31,35,91,o
23,30,88,o
22,29,91,o
4,79,90,y
3,88,104,y
1,84,101,y
11,75,82,y
5,83,95,y
4,85,101,y
16,68,69,y
14,76,81,y
7,75,85,y
20,23,65,r
19,21,65,r
18,21,66,r
33,27,61,r
25,23,62,r
33,26,63,r
35,23,52,r
32,21,52,r
31,20,55,r
81,33,7,b
107,35,7,b
96,34,9,b
117,41,8,b
124,41,8,b
111,38,9,b
99,35,7,b
119,38,6,b
117,33,4,b
118,122,128,w
119,124,130,w
118,123,131,w
121,121,128,w
121,122,127,w
120,121,126,w
122,120,124,w
123,120,123,w
122,119,122,w
34,62,9,g
36,61,5,g
30,59,2,g
36,64,7,g
32,59,0,g
30,59,0,g
37,64,5,g
36,61,0,g
38,61,0,g
3,35,178,o
9,27,100,o
1,30,183,o
11,30,95,o
13,23,49,o
10,25,90,o
14,39,172,o
25,32,87,o
29,42,175,o
0,129,154,y
0,130,156,y
0,130,158,y
0,126,151,y
0,127,153,y
0,127,153,y
0,124,148,y
0,125,150,y
0,124,149,y
9,25,153,r
1,14,150,r
0,13,148,r
4,20,151,r
0,13,148,r
0,13,147,r
12,21,144,r
16,18,143,r
14,17,142,r
151,46,4,b
155,40,0,b
154,40,0,b
155,42,1,b
155,39,0,b
157,38,0,b
156,39,0,b
158,37,0,b
159,36,0,b
130,134,137,w
132,134,137,w
130,132,136,w
130,132,134,w
132,132,134,w
130,131,132,w
132,130,131,w
133,130,131,w
133,129,129,w
40,73,10,g
34,69,2,g
34,70,3,g
35,70,5,g
31,67,0,g
31,67,0,g
35,69,1,g
34,68,0,g
34,67,0,g
6,34,168,o
1,28,171,o
1,30,169,o
6,34,168,o
6,29,171,o
5,30,170,o
12,35,165,o
20,37,168,o
16,36,168,o
46,136,128,y
46,137,131,y
48,137,129,y
46,136,127,y
45,136,127,y
40,135,127,y
46,134,123,y
46,134,124,y
33,131,120,y
0,14,123,r
0,13,128,r
0,13,134,r
0,13,116,r
0,13,121,r
0,13,128,r
0,13,104,r
0,13,111,r
0,13,122,r
138,48,6,b
142,48,6,b
143,49,9,b
139,46,5,b
143,46,6,b
144,47,7,b
137,46,6,b
141,45,5,b
141,45,6,b
113,113,117,w
115,115,120,w
113,113,119,w
110,109,115,w
111,111,116,w
111,108,114,w
109,104,109,w
111,106,109,w
108,103,107,w
32,53,13,g
37,58,13,g
34,57,14,g
34,54,11,g
38,61,12,g
34,58,13,g
30,50,10,g
33,56,10,g
31,50,9,g
16,38,124,o
19,40,132,o
18,39,131,o
12,33,117,o
12,33,122,o
11,34,123,o
18,34,111,o
12,32,117,o
13,32,122,o
12,82,104,y
7,81,104,y
11,87,108,y
